                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3167,                 4.9466,                 4.2198,                0.00587,                0.04562,                 0.0058,                 0.0014,                  4.141,                 30.715,                 4.1182,              0.0033223,              0.0033223,              0.0033223
                      2,                 3.4092,                 3.2889,                 3.2562,                0.13599,                0.15804,                0.01747,                0.00531,                 3.3973,                  5.612,                 3.0196,              0.0066336,              0.0066336,              0.0066336
                      3,                 2.6458,                 2.2988,                 2.3509,                0.43692,                0.18939,                0.16168,                0.05665,                 2.2898,                 1.8901,                 1.8624,               0.009923,               0.009923,               0.009923
                      4,                  2.181,                 1.9292,                   1.87,                0.47976,                0.38608,                0.32048,                0.11612,                 1.9834,                 1.6121,                 1.4739,               0.009901,               0.009901,               0.009901
                      5,                 1.8344,                 1.6664,                 1.5455,                0.59716,                0.35145,                0.35883,                0.14563,                 1.7845,                 1.4187,                 1.3189,               0.009901,               0.009901,               0.009901
                      6,                 1.6301,                 1.4837,                 1.3619,                0.48735,                0.58555,                0.50334,                0.25487,                 1.4991,                 1.2796,                 1.1521,               0.009868,               0.009868,               0.009868
                      7,                 1.4967,                 1.3695,                  1.251,                0.54795,                0.38245,                0.35051,                0.17559,                 1.7656,                 1.7487,                 1.3023,               0.009835,               0.009835,               0.009835
                      8,                 1.4047,                  1.272,                   1.18,                0.54172,                0.53551,                0.54023,                0.28801,                 1.4326,                 1.1742,                 1.0694,               0.009802,               0.009802,               0.009802
                      9,                  1.324,                 1.1968,                 1.1223,                 0.6639,                0.61902,                0.67007,                0.39567,                 1.2956,                 1.0112,                0.98218,               0.009769,               0.009769,               0.009769
                     10,                 1.2732,                 1.1417,                  1.089,                0.59299,                0.65456,                0.64067,                0.37666,                 1.2812,                 1.0101,                0.99089,               0.009736,               0.009736,               0.009736
                     11,                 1.2264,                 1.1012,                 1.0664,                0.64236,                0.69166,                0.70578,                0.45647,                 1.1998,                0.97766,                0.95837,               0.009703,               0.009703,               0.009703
                     12,                 1.1721,                 1.0614,                   1.05,                0.71055,                 0.6594,                0.71946,                0.48041,                 1.1423,                0.93748,                0.96321,                0.00967,                0.00967,                0.00967
                     13,                 1.1272,                 1.0271,                 1.0357,                0.72189,                0.74793,                0.77948,                 0.5384,                 1.0616,                0.89797,                 0.9456,               0.009637,               0.009637,               0.009637
                     14,                 1.0734,                0.98481,                 1.0184,                0.68648,                0.66383,                0.71833,                0.50941,                 1.0564,                0.92465,                0.96808,               0.009604,               0.009604,               0.009604
                     15,                 1.0408,                0.95646,                 1.0109,                0.71514,                0.74448,                0.79121,                0.59048,                0.95834,                0.85565,                0.92944,               0.009571,               0.009571,               0.009571
                     16,                 1.0158,                0.92602,                0.99899,                 0.7609,                0.73589,                0.79278,                0.59982,                0.89572,                0.78409,                 0.9127,               0.009538,               0.009538,               0.009538
                     17,                0.98596,                0.90304,                0.98607,                0.76066,                0.76441,                0.81354,                0.62249,                0.92101,                0.79964,                0.90446,               0.009505,               0.009505,               0.009505
                     18,                0.96865,                 0.8949,                0.98044,                0.78324,                0.76192,                0.81033,                0.62465,                0.88156,                0.75524,                0.91131,               0.009472,               0.009472,               0.009472
                     19,                0.93639,                0.85712,                0.96897,                 0.7468,                0.79688,                0.82791,                  0.646,                0.87638,                0.73753,                0.90253,               0.009439,               0.009439,               0.009439
                     20,                0.88979,                0.84854,                0.97613,                0.79379,                0.77476,                0.82977,                0.67681,                0.75552,                0.73585,                0.91477,               0.009406,               0.009406,               0.009406
                     21,                0.86141,                0.82222,                0.96552,                0.78642,                0.75034,                0.84505,                0.70183,                0.70288,                0.71553,                0.90816,               0.009373,               0.009373,               0.009373
                     22,                0.84373,                0.79704,                0.95965,                0.74705,                0.78012,                0.82126,                0.66236,                0.78189,                0.72647,                0.93147,                0.00934,                0.00934,                0.00934
                     23,                0.83806,                0.79486,                0.95905,                  0.812,                0.78771,                   0.85,                0.71509,                0.68535,                0.67346,                0.90074,               0.009307,               0.009307,               0.009307
                     24,                0.82128,                0.77502,                0.95048,                0.79717,                0.83036,                0.84883,                0.71557,                0.67762,                0.65255,                0.89404,               0.009274,               0.009274,               0.009274
                     25,                0.80863,                0.75835,                0.94662,                0.80712,                0.81832,                0.86356,                 0.7224,                 0.6898,                0.65817,                0.89062,               0.009241,               0.009241,               0.009241
                     26,                 0.7892,                0.74976,                0.94561,                0.81223,                 0.8185,                0.85632,                0.72506,                0.67549,                0.65375,                0.89531,               0.009208,               0.009208,               0.009208
                     27,                0.78266,                 0.7377,                0.94085,                 0.8473,                  0.792,                0.87198,                 0.7459,                0.63467,                0.62092,                0.88511,               0.009175,               0.009175,               0.009175
                     28,                0.77401,                0.72179,                 0.9363,                0.82564,                0.80049,                0.86676,                0.73824,                0.65131,                0.62932,                0.88637,               0.009142,               0.009142,               0.009142
                     29,                 0.7694,                0.72669,                0.93493,                0.83206,                 0.8359,                0.87715,                0.74625,                0.64294,                0.60815,                0.88135,               0.009109,               0.009109,               0.009109
