                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1471,                 4.7266,                 4.1194,                0.00864,                0.07035,                0.00658,                0.00194,                 3.9594,                 4.0225,                 3.7256,              0.0033223,              0.0033223,              0.0033223
                      2,                 3.4896,                 3.3044,                 3.2058,                0.33947,                0.07786,                 0.0201,                0.00463,                 3.4312,                 3.8374,                 2.8348,              0.0066336,              0.0066336,              0.0066336
                      3,                  2.771,                 2.5029,                 2.4468,                 0.3232,                0.14467,                0.10309,                0.03495,                 2.4168,                 2.5084,                 1.9767,               0.009923,               0.009923,               0.009923
                      4,                 2.3135,                 2.0989,                 1.9978,                0.39475,                0.14699,                0.13129,                0.04522,                 2.4315,                 2.1497,                 1.8445,               0.009901,               0.009901,               0.009901
                      5,                 1.9974,                   1.88,                 1.6982,                0.72534,                 0.2806,                0.31271,                0.12806,                 1.8082,                 1.4927,                 1.3994,               0.009901,               0.009901,               0.009901
                      6,                 1.8084,                 1.7068,                  1.528,                0.45605,                0.22058,                0.17983,                0.07144,                 2.3082,                 2.2755,                 1.7277,               0.009868,               0.009868,               0.009868
                      7,                 1.6894,                 1.6082,                 1.4248,                0.54829,                0.32726,                0.30566,                 0.1335,                 1.7726,                 1.5754,                 1.3427,               0.009835,               0.009835,               0.009835
                      8,                 1.5834,                 1.5116,                 1.3595,                0.58788,                0.46123,                0.46118,                0.22852,                 1.5413,                 1.3046,                 1.2136,               0.009802,               0.009802,               0.009802
                      9,                 1.5026,                 1.4447,                 1.3032,                0.54284,                0.56304,                0.52436,                0.28615,                 1.4367,                 1.2439,                 1.1798,               0.009769,               0.009769,               0.009769
                     10,                 1.4385,                 1.3912,                 1.2696,                 0.5474,                0.52543,                 0.5191,                0.29413,                 1.3789,                 1.1965,                 1.1645,               0.009736,               0.009736,               0.009736
                     11,                 1.3893,                 1.3401,                 1.2346,                0.70418,                0.48754,                0.54189,                0.32627,                 1.3014,                 1.1769,                 1.1326,               0.009703,               0.009703,               0.009703
                     12,                 1.3297,                 1.2931,                 1.1976,                0.70651,                0.52818,                0.57292,                 0.3504,                 1.3073,                 1.1393,                 1.1268,                0.00967,                0.00967,                0.00967
                     13,                 1.2947,                 1.2615,                 1.1795,                0.64902,                0.57484,                0.61691,                0.40315,                 1.2034,                 1.0914,                 1.0971,               0.009637,               0.009637,               0.009637
                     14,                  1.229,                 1.2158,                 1.1654,                0.61594,                0.51677,                0.58447,                0.40165,                 1.1844,                 1.0969,                  1.137,               0.009604,               0.009604,               0.009604
                     15,                 1.2014,                 1.1825,                 1.1487,                0.61215,                0.61199,                 0.6509,                   0.46,                 1.1409,                 1.0588,                 1.1216,               0.009571,               0.009571,               0.009571
                     16,                 1.1711,                 1.1555,                 1.1312,                0.77449,                0.59637,                0.67848,                0.49607,                 1.0044,                0.98974,                 1.0914,               0.009538,               0.009538,               0.009538
                     17,                 1.1395,                 1.1286,                 1.1164,                0.66321,                 0.6467,                0.69049,                0.49495,                 1.0132,                0.96769,                 1.0732,               0.009505,               0.009505,               0.009505
                     18,                 1.1152,                  1.113,                  1.103,                0.63142,                0.72123,                0.71159,                0.53213,                0.94152,                0.94472,                 1.0382,               0.009472,               0.009472,               0.009472
                     19,                 1.0791,                 1.0806,                 1.0917,                 0.6206,                0.63526,                 0.6474,                0.47969,                0.97859,                0.96593,                 1.0695,               0.009439,               0.009439,               0.009439
                     20,                  1.063,                 1.0615,                 1.0844,                0.70084,                0.63899,                0.69733,                0.52622,                0.93972,                0.90819,                 1.0273,               0.009406,               0.009406,               0.009406
                     21,                 1.0359,                 1.0385,                 1.0707,                0.64427,                0.74357,                0.74354,                0.57765,                0.86463,                0.87168,                 1.0008,               0.009373,               0.009373,               0.009373
                     22,                 1.0248,                 1.0133,                 1.0567,                0.66903,                 0.7449,                0.75431,                0.58674,                0.85196,                0.87283,                 1.0013,                0.00934,                0.00934,                0.00934
                     23,                 1.0158,                   1.01,                 1.0561,                0.69768,                0.72477,                0.76771,                0.59332,                0.87088,                0.86055,                 1.0008,               0.009307,               0.009307,               0.009307
                     24,                0.99792,                0.98649,                 1.0435,                0.70001,                0.73936,                 0.7692,                0.60891,                0.84886,                0.83408,                 0.9855,               0.009274,               0.009274,               0.009274
                     25,                0.98005,                0.97795,                 1.0385,                0.68911,                0.72847,                0.76487,                0.60007,                0.86739,                0.84567,                0.98812,               0.009241,               0.009241,               0.009241
